colname,award,idv,Tag,size,definition
LAND_GRANT_COLLEGE_1890,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1890LandGrantCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1890LandGrantCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
LAND_GRANT_COLLEGE_1994,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1994LandGrantCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1994LandGrantCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
LAST_MODIFIED_DATE,list_element[['transactionInformation']][['lastModifiedDate']][[1]],list_element[['transactionInformation']][['lastModifiedDate']][[1]],no,DATETIME,The date and time that the transaction was validated and accepted by FPDS-NG.
LIMITED_LIABILITY_CORPORATION,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isLimitedLiabilityCorporation']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isLimitedLiabilityCorporation']][[1]],no,VARCHAR(3),https://www.sam.gov
LOCAL_AREA_SET_ASIDE,list_element[['competition']][['localAreaSetAside']][[1]],list_element[['competition']][['localAreaSetAside']][[1]],no,VARCHAR(4),"When awarding emergency response contracts during the term of a major disaster or emergency declaration by the President of the United States under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act (42 U.S.C. 5121, et seq.), preference shall be given, to the extent feasible and practicable, to local firms. Preference may be given through a local area set-aside or an evaluation preference. Note: When the value for the data element 'Multiple or Single Award IDV' is 'Single' on the Referenced IDV, the value for 'Local Area Set Aside' is propagated from the BPA. When the value is 'Multiple' user input is required."
LOCAL_GOVERNMENT_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isLocalGovernment']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Local Government Organization or not. It can be derived from the SAM data element, 'Business Types'."
LOCAL_GOVERNMENT_OWNED,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isLocalGovernmentOwned']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isLocalGovernmentOwned']][[1]],no,VARCHAR(3),https://www.sam.gov
MAJOR_PROGRAM_CODE,list_element[['contractData']][['majorProgramCode']][[1]],list_element[['contractData']][['majorProgramCode']][[1]],no,VARCHAR(105),"The agency determined code for a major program within the agency. For an Indefinite Delivery Vehicle, this may be the name of a GWAC (e.g., ITOPS or COMMITS)."
MANUFACTURER_OF_GOODS,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isManufacturerOfGoods']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isManufacturerOfGoods']][[1]],no,VARCHAR(3),https://www.sam.gov
MINORITY_INSTITUTION_FLAG,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isMinorityInstitution']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isMinorityInstitution']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Minority Institution or not. It can be derived from the SAM data element, 'Business Types'."
MINORITY_OWNED_BUSINESS_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isMinorityOwned']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isMinorityOwned']][[1]],no,VARCHAR(3),https://www.sam.gov
MODIFICATION_NUMBER,list_element[['awardID']][['awardContractID']][['modNumber']][[1]],list_element[['contractID']][['IDVID']][['modNumber']][[1]],no,VARCHAR(25),"An identifier issued by an agency that uniquely identifies one modification for one contract, agreement, order, etc."
MULTIYEAR_CONTRACT,list_element[['contractData']][['multiYearContract']][[1]],list_element[['contractData']][['multiYearContract']][[1]],no,VARCHAR(1),"A multi-year contract means a contract for the purchase of supplies or services for more than 1, but not more than 5, program years. Such contracts are issued under specific congressional authority for specific programs. A multi-year contract may provide that performance under the contract during the second and subsequent years of the contract is contingent upon the appropriation of funds, and (if it does so provide) may provide for a cancellation payment to be made to the contractor if appropriations are not made. The key distinguishing difference between multi-year contracts and multiple year contracts is that multi-year contracts buy more than 1 year of requirement (of a product or service) without establishing and having to exercise an option for each program year after the first."
MUNICIPALITY,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isMunicipalityLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isMunicipalityLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
NAOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isNativeAmericanOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isNativeAmericanOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Native American Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
NATIONAL_INTEREST_CODE,list_element[['contractData']][['nationalInterestActionCode']][[1]],list_element[['contractData']][['nationalInterestActionCode']][[1]],no,VARCHAR(4),A code that represents the national interest for which the contract is created.
NATIVE_HAWAIIAN_ORGANIZATION,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isNativeHawaiianOwnedOrganizationOrFirm']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isNativeHawaiianOwnedOrganizationOrFirm']][[1]],no,VARCHAR(3),https://www.sam.gov
NONPROFIT_ORGANIZATION_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isNonprofitOrganization']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isNonprofitOrganization']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Nonprofit Organization or not. It can be derived from the SAM data element, 'Business Types'."
NUMBER_OF_ACTIONS,list_element[['contractData']][['numberOfActions']][[1]],NA,no,INT,The number input by the agency that identifies number of actions that are reported in one modification.
NUMBER_OF_OFFERS_RECEIVED,list_element[['competition']][['numberOfOffersReceived']][[1]],list_element[['competition']][['numberOfOffersReceived']][[1]],no,INT,The number of actual offers/bids received in response to the solicitation.
ORGANIZATIONAL_TYPE,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['organizationalType']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['organizationalType']][[1]],no,VARCHAR(40),N/A
OTHER_MINORITY_OWNED,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isOtherMinorityOwned']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isOtherMinorityOwned']][[1]],no,VARCHAR(3),https://www.sam.gov
OTHER_NOT_FOR_PROFIT_ORG,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isOtherNotForProfitOrganization']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isOtherNotForProfitOrganization']][[1]],no,VARCHAR(3),https://www.sam.gov
OTHER_STATUTORY_AUTHORITY,list_element[['legislativeMandates']][['otherStatutoryAuthority']][[1]],list_element[['legislativeMandates']][['otherStatutoryAuthority']][[1]],no,VARCHAR(960),"Indicates whether the transaction is subject to other statutory authority. If ""Interagency Contracting Authority"" is ""Other Statutory Authority"" then an entry is required in this data element."
PARTNERSHIP_OR_LLP,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isPartnershipOrLimitedLiabilityPartnership']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isPartnershipOrLimitedLiabilityPartnership']][[1]],no,VARCHAR(3),https://www.sam.gov
PIID,list_element[['awardID']][['awardContractID']][['PIID']][[1]],list_element[['contractID']][['IDVID']][['PIID']][[1]],no,VARCHAR(50),"The unique identifier for each contract, agreement or order."
PLACE_OF_MANUFACTURE,list_element[['productOrServiceInformation']][['placeOfManufacture']][[1]],NA,no,VARCHAR(4),Represents whether the end products procured by the contract are manufactured inside or outside the U.S. in accordance with the Buy American Act (see FAR 25.1) and any exceptions or reasons for waivers employed.
PLACE_OF_PERFORM_COUNTRY_CODE,list_element[['placeOfPerformance']][['principalPlaceOfPerformance']][['countryCode']][[1]],NA,no,CHAR(3),"For Services: The predominant place of performance at the time of award. Predominance is based on funding. If funds are equal, Contracting Officers (COs) should use their best judgement. - In the case of subscription services, software licenses, or similar type services; use the location where these services are being used. - In the case of services that begin in one location and end in another (e.g., shipping); use the destination. - In the case of services being performed in oceans/seas, choose the closest major city (if in U.S. waters). In another country's waters, choose that country. If in open waters, choose the closest country and choose the closest major city if that country is the U.S. - In the case of services being performed in the atmosphere or space, choose the location from which the equipment conducting the services was launched. - If the place of performance is not specified by the government in the Statement of Work or Performance Work Statement, and the CO does not have any other information indicating a specific location, the CO may use the contractor's location as the place of performance. For Goods/Supplies: Items being manufactured should reflect the manufacture site as the place of performance. All other goods should enter the location the item was taken from inventory (e.g., the store location, etc.). - If the place of performance is located in the U.S. in an area that has no ZIP Plus 4 code (e.g., a national park, a remote location, etc.), use the closest location that does have a ZIP Plus 4. NOTE: Not all procurements require documentation of the place of performance in the file."
PLACE_OF_PERFORM_STATE_CODE,list_element[['placeOfPerformance']][['principalPlaceOfPerformance']][['stateCode']][[1]],NA,no,CHAR(2),"For Services: The predominant place of performance at the time of award. Predominance is based on funding. If funds are equal, Contracting Officers (COs) should use their best judgement. - In the case of subscription services, software licenses, or similar type services; use the location where these services are being used. - In the case of services that begin in one location and end in another (e.g., shipping); use the destination. - In the case of services being performed in oceans/seas, choose the closest major city (if in U.S. waters). In another country's waters, choose that country. If in open waters, choose the closest country and choose the closest major city if that country is the U.S. - In the case of services
being performed in the atmosphere or space, choose the location from which the equipment conducting the services was launched. - If the place of performance is not specified by the government in the Statement of Work or Performance Work Statement, and the CO does not have any other information indicating a specific location, the CO may use the contractor's location as the place of performance. For Goods/Supplies: Items being manufactured should reflect the manufacture site as the place of performance. All other goods should enter the location the item was taken from inventory (e.g., the store location, etc.). - If the place of performance is located in the U.S. in an area that has no ZIP Plus 4 code (e.g., a national park, a remote location, etc.), use the closest location that does have a ZIP Plus 4. NOTE: Not all procurements require documentation of the place of performance in the file."
PLACE_OF_PERFORM_ZIP_CODE,list_element[['placeOfPerformance']][['placeOfPerformanceZIPCode']][[1]],NA,no,VARCHAR(10),"For U.S. Place of Performance: indicates the ZIP Code. If the Place of Performance is U.S, enter ZIP+4 code. Otherwise, enter the postal code available for the foreign location."
PLANNING_COMMISSION,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isPlanningCommission']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isPlanningCommission']][[1]],no,VARCHAR(3),https://www.sam.gov
PORT_AUTHORITY,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isPortAuthority']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isPortAuthority']][[1]],no,VARCHAR(3),https://www.sam.gov
PRICE_EVAL_DIFF,list_element[['competition']][['priceEvaluationPercentDifference']][[1]],NA,no,"NUMERIC(37,2)","The percent difference between the award price and the lowest priced offer from a responsive, responsible non-HUBZone or non-SDB."
PRINCIPAL_NAICS_CODE,list_element[['productOrServiceInformation']][['principalNAICSCode']][[1]],list_element[['productOrServiceInformation']][['principalNAICSCode']][[1]],no,VARCHAR(6),"The North American Industry Classification System (NAICS) codes designate major sectors of the economies of Mexico, Canada, and the United States."
IDV_NAICS,list_element[['productOrServiceInformation']][['IDVNAICS']][[1]],list_element[['productOrServiceInformation']][['IDVNAICS']][[1]],no,VARCHAR(6),
PRIVATE_UNIVERSITY_OR_COLLEGE,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isPrivateUniversityOrCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isPrivateUniversityOrCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
PRODUCT_OR_SERVICE_CODE,list_element[['productOrServiceInformation']][['productOrServiceCode']][[1]],list_element[['productOrServiceInformation']][['productOrServiceCode']][[1]],no,VARCHAR(4),The code that best identifies the product or service procured. Codes are defined in the Product and Service Codes Manual.
PURCHASE_CARD_PAYMENT_METHOD,list_element[['contractData']][['purchaseCardAsPaymentMethod']][[1]],NA,no,VARCHAR(3),Indicates whether the method of payment is the Purchase Card. Agencies may issue formal contract documents and make payment using the Purchase Card. It is also permitted that agencies may report Purchase Card purchases.
REASON_FOR_MODIFICATION,list_element[['contractData']][['reasonForModification']][[1]],list_element[['contractData']][['reasonForModification']][[1]],no,VARCHAR(1),The type of modification to an award or IDV performed by this transaction.
RECOVERED_MATERIAL_CLAUSES,list_element[['productOrServiceInformation']][['recoveredMaterialClauses']][[1]],list_element[['productOrServiceInformation']][['recoveredMaterialClauses']][[1]],no,VARCHAR(1),Designates whether Recovered Material Certification and/or Estimate of Percentage of Recovered Material Content for EPA-Designated Products clauses were included in the contract.
RESEARCH,list_element[['competition']][['research']][[1]],list_element[['competition']][['research']][[1]],no,VARCHAR(3),The designator for type of research determined for the contract action.
RESEARCH_AND_DEVELOPMENT,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederallyFundedResearchAndDevelopmentCorp']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederallyFundedResearchAndDevelopmentCorp']][[1]],no,VARCHAR(3),https://www.sam.gov
SAAOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isSubContinentAsianAmericanOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isSubContinentAsianAmericanOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Subcontinent Asian (Asian- Indian) American Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
SCHOOL_DISTRICT,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isSchoolDistrictLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isSchoolDistrictLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
SCHOOL_OF_FORESTRY,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isSchoolOfForestry']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isSchoolOfForestry']][[1]],no,VARCHAR(3),https://www.sam.gov
SDB,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertifiedSmallDisadvantagedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertifiedSmallDisadvantagedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Small Disadvantaged Business Organization or not. It can be derived from the SAM data element, 'Business Types'."
SDB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSelfCertifiedSmallDisadvantagedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSelfCertifiedSmallDisadvantagedBusiness']][[1]],no,VARCHAR(3),https://www.sam.gov
SEA_TRANSPORTATION,list_element[['contractData']][['seaTransportation']][[1]],list_element[['contractData']][['seaTransportation']][[1]],no,VARCHAR(7),A code designating whether the contractor anticipates some of the supplies may be transported by sea.
SELFCERT_HUBZONE_JOINTVENTURE,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSelfCertifiedHUBZoneJointVenture']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSelfCertifiedHUBZoneJointVenture']][[1]],no,VARCHAR(3),NA
SMALL_AGRICULTURAL_COOPERATIVE,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isSmallAgriculturalCooperative']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isSmallAgriculturalCooperative']][[1]],no,VARCHAR(3),https://www.sam.gov
SOLE_PROPREITORSHIP,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isSolePropreitorship']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isSolePropreitorship']][[1]],no,VARCHAR(3),https://www.sam.gov
SOLICITATION_DATE,list_element[['genericTags']][['genericStrings']][['genericString01']][[1]],list_element[['genericTags']][['genericStrings']][['genericString01']][[1]],no,DATETIME,"For award of a new contract, purchase order, task\delivery order, or BPA Call valued above the SAT a solicitation issuance date must be provided, regardless of whether the new award: Was required to be advertised (i.e., posted on FBO, etc.); Is an order under a single-award indefinite-delivery contract; or Is an award that was not competed."
SOLICITATION_ID,list_element[['contractData']][['solicitationID']][[1]],list_element[['contractData']][['solicitationID']][[1]],no,VARCHAR(25),Identifier used to link transactions in FPDS-NG to solicitation information.
SOLICITATION_PROCEDURES,list_element[['competition']][['solicitationProcedures']][[1]],list_element[['competition']][['solicitationProcedures']][[1]],no,VARCHAR(5),The designator for competitive solicitation procedures available.
SRDVOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isServiceRelatedDisabledVeteranOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isServiceRelatedDisabledVeteranOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Service-Related Disabled Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
STATE_GOVERNMENT_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isStateGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isStateGovernment']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a State Government Organization or not. It can be derived from the SAM data element, 'Business Types'."
STATRY_EXPTN_TO_FAIR_OPRTNTY,list_element[['competition']][['statutoryExceptionToFairOpportunity']][[1]],list_element[['competition']][['statutoryExceptionToFairOpportunity']][[1]],no,VARCHAR(4),The type of statutory exception to Fair Opportunity.
SUBCHAPTER_S_CORPORATION,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isSubchapterSCorporation']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isSubchapterSCorporation']][[1]],no,VARCHAR(4),https://www.sam.gov
SUBCONTRACT_PLAN,list_element[['preferencePrograms']][['subcontractPlan']][[1]],list_element[['preferencePrograms']][['subcontractPlan']][[1]],no,VARCHAR(1),Subcontracting plan requirement. (See FAR Part 19.702).
TOTAL_OBLIGATIONS,list_element[['totalDollarValues']][['totalObligatedAmount']][[1]],list_element[['totalDollarValues']][['totalObligatedAmount']][[1]],no,"NUMERIC(37,2)","This is a system generated element providing the sum of all the amounts entered in the ""Action Obligation"" field for a particular PIID and Agency. Example: Contract has 9 Modifications under ""Transaction Number"" as '1' and 9 modifications with the same PIID under ""Transaction Number"" as '2'. The base contracts and all the modifications have ""Action Obligation"" as $10 each. The value for the field ""Total Obligated Amount"" when the either of the bases or the modification is retrieved through atom feeds will be $200 ($100 under Transaction Number 1 + $100 under Transaction Number 2). ""Total Obligated Amount"" is generated irrespective of the ""Transaction Number"" on the Awards."
TOWNSHIP,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isTownshipLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isTownshipLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
TRANSIT_AUTHORITY,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isTransitAuthority']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isTransitAuthority']][[1]],no,VARCHAR(3),https://www.sam.gov
TRIBAL_COLLEGE,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isTribalCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isTribalCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
TRIBAL_GOVERNMENT_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isTribalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isTribalGovernment']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Tribal Government Organization or not. It can be derived from the SAM data element, 'Business Types'."
TRIBALLY_OWNED,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isTriballyOwnedFirm']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isTriballyOwnedFirm']][[1]],no,VARCHAR(3),https://www.sam.gov
TYPE_OF_CONTRACT_PRICING,list_element[['contractData']][['typeOfContractPricing']][[1]],list_element[['contractData']][['typeOfContractPricing']][[1]],no,VARCHAR(1),The type of contract as defined in FAR Part 16 that applies to this procurement.
TYPE_OF_SET_ASIDE,list_element[['competition']][['typeOfSetAside']][[1]],list_element[['competition']][['typeOfSetAside']][[1]],no,VARCHAR(10),The designator for type of set aside determined for the contract action.
TYPE_OF_SET_ASIDE_SOURCE,list_element[['competition']][['typeOfSetAsideSource']][[1]],list_element[['competition']][['typeOfSetAsideSource']][[1]],no,VARCHAR(10),
IDV_TYPE_OF_SET_ASIDE,list_element[['competition']][['idvTypeOfSetAside']][[1]],list_element[['competition']][['idvTypeOfSetAside']][[1]],no,VARCHAR(10),
BASE_AND ALL_OPTIONS,list_element[['dollarValues']][['baseAndExercisedOptionsValue']][[1]],NA,no,"NUMERIC(37,2)",The contract value for the base contract and any options that have been exercised.
US_GOVERNMENT_ENTITY,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isUSGovernmentEntity']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isUSGovernmentEntity']][[1]],no,VARCHAR(3),https://www.sam.gov
USE_OF_EPA_PRODUCTS,list_element[['productOrServiceInformation']][['useOfEPADesignatedProducts']][[1]],NA,no,VARCHAR(3),"The Resource Conservation and Recovery Act (RCRA), Section 6002, and Executive Order 13101 require the purchase of Environmental Protection Agency (EPA) -designated products with a required minimum recovered material content as described in an agency's Affirmative Procurement Program (APP). This list of EPA-designated products is available at http://www.epa.gov/cpg. This requirement applies to all contracts that require EPA-designated products."
VENDOR_ADDRESS_CITY,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['city']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['city']][[1]],no,VARCHAR(52),The city of the contractor address.
VENDOR_ADDRESS_LINE_1,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['streetAddress']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['streetAddress']][[1]],no,VARCHAR(105),"The address of the vendor supplying the product or service as it appears in SAM at the time of the award based on the Unique Entity Identifier (UEI) provided (currently the DUNS number). If awarding a task/delivery order, a FAR Part 8 BPA, or any BPA call, the vendor information will be inherited from the IDV as it appeared at the time of award."
VENDOR_ADDRESS_LINE_2,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['streetAddress2']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['streetAddress2']][[1]],no,VARCHAR(60),"The address of the vendor supplying the product or service as it appears in SAM at the time of the award based on the Unique Entity Identifier (UEI) provided (currently the DUNS number). If awarding a task/delivery order, a FAR Part 8 BPA, or any BPA call, the vendor information will be inherited from the IDV as it appeared at the time of award."
VENDOR_ADDRESS_STATE_NAME,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['state']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['state']][[1]],no,VARCHAR(35),The state of the contractor address.
VENDOR_ADDRESS_ZIP_CODE,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['ZIPCode']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['ZIPCode']][[1]],no,VARCHAR(35),The zip code of the contractor address.
VENDOR_CONGRESSIONAL_DISTRICT,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['congressionalDistrictCode']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['congressionalDistrictCode']][[1]],no,VARCHAR(6),Indicates the congressional district of the contractor.
VENDOR_COUNTRY_CODE,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['countryCode']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['countryCode']][[1]],no,VARCHAR(3),The country code of the contractor address.
VENDOR_NAME,list_element[['vendor']][['vendorHeader']][['vendorName']][[1]],list_element[['vendor']][['vendorHeader']][['vendorName']][[1]],no,VARCHAR(121),"The name of the vendor supplying the product or service as it appears in SAM at the time of the award based on the Unique Entity Identifier (UEI) provided (currently the DUNS number). If awarding a task/delivery order, a FAR Part 8 BPA, or any BPA call, the vendor information will be inherited from the IDV as it appeared at the time of award."
VENDOR_PHONE_NUMBER,list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['phoneNo']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLocation']][['phoneNo']][[1]],no,VARCHAR(20),The phone number of the contractor.
VENDOR_UEI_NUMBER,list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['UEI']][[1]],list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['UEI']][[1]],no,VARCHAR(20),The Unique Entity Identifier (SAM) number of the contractor. Used as a key to beta SAM. Maps to the UEI Number in beta SAM.
VETERAN_OWNED_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isVeteranOwned']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isVeteranOwned']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
VETERINARY_COLLEGE,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isVeterinaryCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isVeterinaryCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
VETERINARY_HOSPITAL,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isVeterinaryHospital']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isVeterinaryHospital']][[1]],no,VARCHAR(3),https://www.sam.gov
